informativeSNPs	Target
2	contig157518|CHD1L|12
2	contig157530|FBXO36|8
7	contig157552|FITM2|11
1	contig157575|ALDH18A1|6
1	contig157613|RHOA|6
4	contig157633|GALNTL4|3
2	contig157644|PMS1|11
6	contig157650|ZIC1|8
1	contig157659|DHX35|3
2	contig157673|CEP41|6
2	contig157698|ZCCHC8|11
3	contig157703|FBXO9|3
3	contig157715|SRSF6|11
6	contig157794|MXI1|6
1	contig157809|POLRMT|6
3	contig157819|XPOT|6
1	contig157828|PHF6|6
1	contig157835|RCOR3|8
9	contig157838|AIFM2|8
2	contig157853|USP45|7
3	contig157868|TUBD1|6
2	contig157903|C2orf63|8
1	contig157938|RIPK1|6
8	contig157998|ZNF93|11
3	contig158010|NMI|11
2	contig158018|INTS4|7
7	contig158063|RRAGC|6
1	contig158118|NOX4|8
2	contig158154|SUPV3L1|6
6	contig158174|TTC33|6
1	contig158198|ZBTB8OS|8
7	contig158230|SEMA4F|11
2	contig158265|COG2|11
9	contig158278|CTPS2|6
1	contig158293|USP34|3
1	contig158303|EBP|11
2	contig158401|HDAC10|9
1	contig158443|SATB1|11
2	contig158465|RBM38|6
1	contig158479|MAP3K15|6
4	contig158493|ZDHHC13|8
4	contig158505|ST3GAL5|11
2	contig158553|CTSB|6
5	contig158554|E41E12|OPA
1	contig158565|GRB10|4
3	contig158579|BTD|11
1	contig158586|BCO2|6
1	contig158594|HDAC5|11
1	contig158603|CIAPIN1|8
1	contig158615|ANXA5|6
2	contig158638|EHMT1|11
2	contig158669|AJAP1|11
4	contig158678|TRIM63|6
3	contig158690|TMEM66|6
1	contig158693|U2AF2|3
5	contig158799|RIF1|11
1	contig158803|MTMR8|6
1	contig158826|CNOT8|6
1	contig158870|WDR11|9
3	contig158893|SPAG1|6
3	contig158933|SMPDL3B|8
5	contig158943|EPB41L5|7
3	contig158976|MN1|6
1	contig159075|CCDC94|4
5	contig159098|HEMK1|11
2	contig159163|NAA10|6
3	contig159173|ARG1|11
1	contig159238|PPTC7|8
3	contig159296|TMEM39A|6
1	contig159309|AMT|8
6	contig159419|OMG|11
1	contig159460|SLC9A1|3
1	contig159483|TRIM33|3
5	contig159488|WDR4|12
1	contig159558|CCP110|11
1	contig159585|IPP|6
4	contig159588|DAZAP1|11
2	contig159604|DKC1|1
3	contig159668|LCP2|8
6	contig159745|USP6NL|12
1	contig159809|CDK7|3
3	contig159861|FAM13A|11
3	contig159863|RHBDL1|11
1	contig159875|FPGT|11
4	contig159903|BMP2K|8
3	contig159928|RRAGD|6
2	contig159956|NT5C3L|11
6	contig160063|METAP1D|8
1	contig160125|CAPS2|7
7	contig160155|E13E9|OPA
5	contig160219|ZCCHC4|11
9	contig160233|ERCC3|11
9	contig160293|GTF2F2|8
1	contig160524|WBP2|6
5	contig160670|FBXO15|8
5	contig160734|SLC16A6|11
2	contig160755|STXBP4|11
4	contig160776|NACC2|8
2	contig160818|PFKFB2|6
4	contig160899|ATP9A|4
1	contig160929|PKNOX2|6
1	contig161149|TMEM38B|6
1	contig161183|ACTR6|3
1	contig161293|DACH2|6
3	contig161298|TMED7-TICAM2|11
1	contig161358|PDK3|3
3	contig161374|CSPP1|11
7	contig161665|CCNYL1|6
3	contig161679|SERPINA1|11
4	contig161796|TPM3|3
1	contig161838|HOPX|12
1	contig161908|C3orf75|11
4	contig162040|BRIP1|6
4	contig162300|WDR93|8
4	contig162323|MLLT4|8
2	contig162393|BEND6|8
1	contig162438|RGN|6
10	contig162559|CALHM1|11
1	contig163228|SBK1|11
6	contig163369|PLBD1|10
7	contig163373|SUCLG1|6
4	contig163538|MAVS|8
1	contig163652|ATP10B|11
4	contig163723|NPY1R|11
4	contig163833|AKR7A2|6
3	contig163958|PET112|8
5	contig164134|CENPO|8
8	contig164274|RIOK1|6
9	contig164403|HARBI1|11
2	contig164928|ANKRD13D|6
6	contig165030|MANF|3
1	contig165139|WDR88|11
1	contig165274|TMBIM4|11
8	contig165538|SLC25A26|6
1	contig165689|TTC32|8
3	contig166007|ZNF415|11
2	contig166375|METTL9|12
3	contig166410|RNPC3|7
4	contig166453|PHF15|7
4	contig166675|MRS2|11
1	contig166878|SKAP1|8
3	contig167015|DYNC1I1|8
2	contig167170|DNAJB2|6
8	contig167268|TOP3A|6
2	contig167578|ZNF783|11
5	contig167805|RGS10|6
2	contig167923|UBAC1|6
5	contig167945|SRPRB|6
7	contig168283|PMVK|11
1	contig168368|RPS3|6
12	contig168583|IYD|6
1	contig168594|MAFK|6
3	contig168943|VAMP7|6
3	contig169065|SAV1|6
1	contig169630|SLC39A11|11
3	contig171591|C12orf5|11
3	contig172354|SPATA4|6
2	contig172383|WDR55|6
5	contig173484|SIGLEC1|11
9	contig173848|KLHDC8A|11
3	contig173981|IRF5|6
5	contig174853|C15orf61|8
4	contig177645|TYROBP|8
3	contig178458|BOLA3|6
1	contig180968|CENPM|8
3	contig181333|TXNL1|6
3	contig182603|ZC3H18|11
2	contig182611|ZNF704|6
1	contig182626|RAD54L|7
2	contig182674|EPT1|8
8	contig182999|DHRS7B|11
1	contig183007|ANO10|7
7	contig183012|FAM105B|11
5	contig183020|XIRP1|12
2	contig183023|DCUN1D3|6
1	contig183029|ZMYND8|11
1	contig183033|ELOVL1|6
3	contig183036|RAB4B|8
1	contig183051|ZFR|11
8	contig183061|THUMPD1|11
1	contig183067|SWT1|6
6	contig183071|PHF13|11
4	contig183075|NAA15|6
2	contig183100|SCAF11|10
12	contig183103|DHRS13|11
4	contig183107|E21A3|OPA
1	contig183112|FZD2|6
4	contig183127|C11orf2|8
1	contig183131|METAP2|6
2	contig183135|E16A9|OPA
2	contig183144|TMTC1|8
1	contig183147|ABI1|6
2	contig183160|KIAA2013|11
2	contig183163|TNS1|6
3	contig183169|PRPF40A|8
1	contig183181|GIT2|6
4	contig183183|TAF2|7
6	contig183192|TANK|11
1	contig183242|NEK3|3
3	contig183244|USP47|2
1	contig183257|ZFAND2B|8
4	contig183262|CEP135|12
6	contig183272|KLF10|6
3	contig183279|FAT4|6
2	contig183296|PCCA|2
5	contig183299|TMEM177|11
2	contig183307|CBR1|11
8	contig183314|KSR1|11
4	contig183327|SNAPC2|11
2	contig183343|GTF2B|6
1	contig183351|COPZ2|8
1	contig183360|SDR42E1|11
4	contig183368|LAMB4|11
2	contig183373|STIP1|11
1	contig183393|PTGES3|6
8	contig183395|MRPS25|11
4	contig183415|NTAN1|11
6	contig183419|VSTM2A|6
3	contig183423|CWF19L2|6
3	contig183433|PAK6|6
10	contig183455|GOSR2|8
6	contig183459|F13B|11
2	contig183464|MTUS1|11
1	contig183475|ALAS1|12
1	contig183481|DLST|4
5	contig183492|ZDHHC23|11
2	contig183495|RLBP1|6
4	contig183503|C17orf28|6
1	contig183515|DNAJC21|6
4	contig183524|NOD2|11
6	contig183527|NDFIP1|6
2	contig183567|SPG21|3
2	contig183575|DRG2|2
7	contig183583|CENPK|8
2	contig183599|INTS10|3
2	contig183604|C11orf95|8
8	contig183615|TMEM138|6
1	contig183619|NUDT19|11
5	contig183640|TMEM11|6
4	contig183655|RMND5B|7
3	contig183695|KIAA1715|11
4	contig183719|CRELD2|11
5	contig183723|JMJD7|6
4	contig183768|STEAP1|11
5	contig183792|SSNA1|6
1	contig183803|TRPM3|6
5	contig183808|GALNT3|6
1	contig183824|DMXL1|11
1	contig183827|EMP2|8
3	contig183843|XRCC3|7
1	contig183855|RASAL2|6
1	contig183863|SFRP4|11
5	contig183971|C1QC|11
3	contig184007|ATG12|6
6	contig184011|CLDN19|8
4	contig184059|C10orf47|11
2	contig184083|TJAP1|8
4	contig184089|TMEM69|8
8	contig184095|LOXL1|8
6	contig184139|MASP2|11
9	contig184171|GPR35|11
3	contig184255|PXMP2|6
7	contig184384|ALDH3B1|7
2	contig184411|PRPF3|9
2	contig184431|A2LD1|6
1	contig184476|LSM4|9
6	contig184479|ZC4H2|7
1	contig184487|SERPINA10|11
1	contig184516|COX4I2|8
5	contig184575|SPC25|6
3	contig184619|C3orf33|8
6	contig184701|S100A11|8
4	contig184781|LYPLAL1|11
4	contig185115|PCBD2|8
1	contig185541|TBC1D8|11
4	contig18561|CLPTM1|11
1	contig185649|SNRPD2|6
2	contig185695|RGS8|11
1	contig186151|PAIP2B|6
5	contig186561|SMPX|8
1	contig186659|PLEKHG1|8
1	contig186740|IRF2BP1|8
4	contig186847|TRIOBP|11
3	contig187080|PSENEN|11
3	contig187442|MBTD1|6
1	contig188677|QSER1|12
2	contig188679|DSEL|12
3	contig188685|ZC3H13|12
5	contig188687|HS2ST1|6
1	contig188691|DOT1L|11
7	contig188699|CLIC4|3
6	contig188705|DCBLD2|8
1	contig188711|TMEM181|6
8	contig188729|INTS3|7
1	contig188749|CDC42BPA|9
2	contig188753|PLEKHF1|6
2	contig188757|JAK1|11
5	contig188763|FNDC1|11
3	contig188767|CDK5|6
3	contig188773|BNC1|11
3	contig188789|FNDC7|12
6	contig188815|ENDOD1|11
6	contig188821|NOB1|9
3	contig188823|IGFN1|11
4	contig188827|TXLNG|11
7	contig188831|C1QA|11
4	contig188857|KIAA1217|8
2	contig188861|PRSS8|11
4	contig188875|IPO5|3
1	contig188887|PTEN|11
5	contig188907|SLC35A4|11
8	contig188913|MAPK14|7
2	contig188919|KIAA2018|11
4	contig188927|TMEM87A|9
5	contig188931|B4GALT1|8
3	contig188935|MAN1B1|11
5	contig188947|TBC1D14|11
3	contig188955|GDAP1L1|6
4	contig188961|MPV17L2|12
6	contig188973|SLC22A17|12
2	contig188987|PRKCG|8
6	contig188999|GBE1|2
11	contig189013|TOMM40|6
2	contig189023|AAMP|4
1	contig189035|GNS|2
2	contig189049|WWC1|7
7	contig189051|ZFP91|8
1	contig189059|HEXA|11
1	contig189067|SLMO2|6
2	contig189073|CEBPZ|9
1	contig189101|CAPN7|6
11	contig189119|C7|8
1	contig189125|CHD3|11
2	contig189131|ABCA1|6
11	contig189141|XPC|11
3	contig189151|ELMOD1|5
2	contig189161|HIF1A|8
9	contig189169|MTPAP|7
3	contig189177|VPS28|6
5	contig189179|TM7SF3|11
6	contig189187|UTRN|11
7	contig189205|TTF1|12
4	contig189229|ADPRHL2|11
5	contig189233|KRI1|7
5	contig189239|TMEM135|3
2	contig189257|IDH1|6
2	contig189271|CSF1R|8
8	contig189275|E15E12|OPA
3	contig189279|SHCBP1|9
4	contig189293|RRP12|12
3	contig189307|CDH2|7
1	contig189315|ACSL1|3
3	contig189319|DPYSL2|8
3	contig189341|CPT2|11
1	contig189351|ITGB4|7
1	contig189355|HNRNPU|7
3	contig189367|PUF60|6
3	contig189371|PPP1R3B|11
2	contig189377|ZBTB26|8
14	contig189385|STEAP3|11
1	contig189387|MLL2|10
5	contig189399|SPAG7|6
7	contig189429|ACLY|4
4	contig189431|LMF2|6
1	contig189451|ADAP1|11
11	contig189455|C19orf63|8
1	contig189469|FADS1|9
5	contig189475|MPP1|6
2	contig189497|SUCLA2|6
2	contig189505|MKS1|7
5	contig189507|NUDT15|11
1	contig189515|TECTA|8
4	contig189537|C3orf37|6
4	contig189551|PPP4R2|11
5	contig189579|PCP4L1|11
4	contig189587|DBT|6
9	contig189605|PSMC3|8
10	contig189639|C15orf57|11
8	contig189653|BLCAP|6
1	contig189655|CDCA4|6
5	contig189659|SNX4|6
5	contig189667|KBTBD5|6
2	contig189675|PCSK2|6
4	contig189681|ARL9|11
3	contig189691|TRHDE|6
1	contig189709|RAD17|6
7	contig189715|XBP1|11
3	contig189725|COPS7A|8
4	contig189745|EYA3|11
5	contig189747|FLNC|6
7	contig189755|NCOA7|8
2	contig189759|SLC17A6|3
4	contig189763|DIXDC1|6
4	contig189783|DNAJC7|2
4	contig189801|NTRK3|8
1	contig189811|AIM1|11
6	contig189821|STARD10|11
7	contig189827|CDCA7L|6
3	contig189869|QSOX1|11
5	contig189875|MYL9|6
1	contig189883|RPGR|9
1	contig189887|CALCRL|11
5	contig189891|INPP4A|6
2	contig189903|RNF2|6
9	contig189909|FGL2|11
9	contig189927|STBD1|8
4	contig189937|MMP10|11
3	contig189949|UBQLN1|6
1	contig189963|GCN1L1|5
6	contig189973|GPAA1|11
6	contig189987|ISG20L2|9
3	contig189993|KIF2A|5
6	contig190003|YIPF5|11
4	contig190007|GPN3|6
6	contig190010|E12A1|OPA
4	contig190015|LOC100288130|11
4	contig190023|PEX11G|11
4	contig190031|PLA2G4A|6
1	contig190045|DDB2|8
7	contig190053|TMEM231|9
2	contig190061|PTPRR|11
9	contig190063|CHMP2B|2
3	contig190069|PCSK7|8
6	contig190077|UNC119|6
4	contig190084|TYW1|8
6	contig190103|SNAP47|6
1	contig190107|RBM7|6
3	contig190113|E20C2|OPA
7	contig190137|KIAA0319|7
11	contig190139|EIF2B1|6
7	contig190155|UBE2G2|6
2	contig190173|LITAF|8
7	contig190209|CD3EAP|12
7	contig190243|HSF2|11
3	contig190259|SYBU|11
2	contig190279|SESN1|11
3	contig190287|EXOC8|11
2	contig190299|LAYN|9
4	contig190303|KCNQ1|7
2	contig190307|VRK2|7
3	contig190317|CHMP7|7
2	contig190321|PRTFDC1|11
2	contig190327|HM13|8
2	contig190347|DDX47|3
2	contig190367|ORMDL1|7
1	contig190381|GLO1|4
2	contig190397|NAPB|3
4	contig190401|JAK2|6
1	contig190411|CLIP4|8
4	contig190417|MAP1LC3B|6
1	contig190435|UBA2|3
1	contig190439|DONSON|11
2	contig190453|ACER3|6
1	contig190455|SBF2|6
1	contig190459|SOCS5|6
6	contig190463|ZNF777|8
3	contig190479|C8orf76|7
1	contig190483|SNAP23|6
1	contig190499|TRAPPC3|3
1	contig190507|ABHD6|6
5	contig190521|CREBZF|11
1	contig190525|FARSA|7
5	contig190535|TIPRL|8
6	contig190541|MEST|6
3	contig190547|TUFM|6
1	contig190551|KDM4A|6
6	contig190579|GLUL|11
8	contig190587|RGS5|6
1	contig190609|TRAFD1|12
3	contig190615|BOP1|6
1	contig190647|CHRDL1|11
16	contig190661|NPM3|11
1	contig190673|PBK|6
3	contig190723|TMEM180|6
5	contig190739|PNPLA8|6
3	contig190743|SNAP91|7
6	contig190749|CDCA3|11
9	contig190761|FIS1|11
1	contig190767|STXBP3|7
4	contig190777|CSNK2A1|6
1	contig190863|OTUD1|6
2	contig190869|PPP2R5E|11
3	contig190873|KBTBD7|8
6	contig190909|NLE1|8
3	contig190911|MYO1E|6
2	contig190923|BRPF1|6
8	contig190937|GALNT12|6
3	contig190977|RCAN1|11
9	contig190989|RAB34|6
8	contig190995|SEMA3C|8
2	contig191013|CCDC15|8
4	contig191031|CD151|6
2	contig191049|DOHH|7
1	contig191065|C7orf42|6
2	contig191111|HSF1|11
9	contig191115|TSPAN6|6
4	contig191125|CYB5A|6
2	contig191131|APEX1|11
3	contig191161|SNUPN|6
6	contig191164|DIMT1|8
2	contig191189|TAF7|6
1	contig191211|TARSL2|11
1	contig191221|PSMC4|9
7	contig191241|EMP3|6
3	contig191259|STAP1|8
1	contig191287|MAMLD1|11
1	contig191337|GNPTG|3
4	contig191345|C6orf228|11
1	contig191365|PLEKHB2|8
1	contig191401|LHPP|8
1	contig191423|GHITM|8
2	contig191447|PHLDA3|8
4	contig191451|DHRS12|7
4	contig191465|POLR2M|8
2	contig191487|ASAH1|4
1	contig191565|KIAA0528|6
1	contig191593|RBAK|11
3	contig191599|ALG6|11
3	contig191603|BEND4|11
6	contig191643|SUGP2|12
3	contig191651|CLN8|6
3	contig191657|CD59|11
5	contig191667|ECI1|11
1	contig191703|C9orf86|4
5	contig191723|FAXC|6
1	contig191731|MAOA|6
7	contig191743|MLC1|7
1	contig191749|UBE2J1|6
1	contig191759|IVNS1ABP|6
6	contig191767|CDC37|6
6	contig191771|TMEM136|6
1	contig191797|BRAP|6
2	contig191801|NUDCD1|11
2	contig191813|FSD1|6
2	contig191841|FAM82A1|8
2	contig191847|LYG2|6
6	contig191863|SLC35D2|11
3	contig191893|MKRN2|6
4	contig191911|CCT6A|2
4	contig191943|RMI1|11
6	contig191949|BDP1|11
3	contig191991|SLC4A10|6
1	contig192009|TMEM37|8
2	contig192021|POLDIP3|8
8	contig192081|GPX1|9
1	contig192093|CCDC90A|3
9	contig192095|RDM1|9
2	contig192131|LOC100507758|11
2	contig192167|DAB2IP|11
6	contig192171|E6E7|OPA
2	contig192175|KCTD21|6
2	contig192207|FAM136A|8
4	contig192219|NUDT16|8
3	contig192223|GNG7|6
2	contig192273|ADCY3|8
3	contig192305|LSM11|8
1	contig192391|MAP3K4|7
6	contig192453|RAB20|12
6	contig192477|SPAG6|6
6	contig192521|TUFT1|6
7	contig192551|RPF2|6
2	contig192591|HPDL|8
4	contig192619|GNB5|6
5	contig192629|TCTEX1D2|11
13	contig192697|FADD|11
2	contig192718|GRPEL1|6
1	contig192837|JAGN1|6
3	contig192867|CIZ1|8
6	contig192957|SUSD3|11
2	contig193061|IMPA2|6
4	contig193083|SAYSD1|11
9	contig193163|DNAJB11|6
2	contig193175|ACADL|3
7	contig193273|CISD2|6
6	contig193277|RPP30|7
6	contig193299|LRRFIP1|8
4	contig193329|FAM89A|8
6	contig193337|SELL|11
5	contig193399|UBOX5|11
1	contig193481|C11orf68|11
3	contig193539|MCEE|8
1	contig193733|POLR3A|6
1	contig193743|THBS3|8
3	contig193781|NCLN|6
5	contig193833|CPB1|6
4	contig193947|MRPL12|11
1	contig193957|CENPN|9
6	contig193970|NKIRAS1|8
4	contig193983|ANGPTL2|11
2	contig194081|CXorf40A|8
3	contig194091|EMG1|8
7	contig194104|FAM166B|11
1	contig194123|TBC1D7|11
6	contig194143|MAP2K1|8
4	contig194171|RAB33A|6
1	contig194368|RAD51|1
3	contig194413|ANKRD39|11
6	contig194419|PYROXD1|6
4	contig194461|DNAJC4|11
1	contig194543|PPP2R2C|11
2	contig194559|CACNA2D2|6
4	contig194776|CCDC23|11
2	contig194781|SEMA4B|11
3	contig194787|E23C6|OPA
5	contig194796|GLTSCR2|11
2	contig194813|RAB3IP|11
7	contig194847|CLEC3A|6
2	contig194857|CELA3B|6
1	contig194899|KBTBD8|6
2	contig195201|UFD1L|1
1	contig195503|OSBPL8|6
2	contig195515|SH3GLB2|8
1	contig195563|MRAP2|6
4	contig195809|C10orf122|8
1	contig196003|GRID1|6
3	contig196083|PEX11A|11
2	contig196123|BCL2L1|6
4	contig196367|LRRC14|11
2	contig196401|ALKBH3|6
4	contig196479|ZPLD1|12
2	contig196591|ACP6|8
7	contig196741|C22orf32|8
3	contig197049|IDNK|8
8	contig197183|ESPL1|11
1	contig197939|NUDCD2|11
1	contig198036|GXYLT1|11
4	contig198355|DCXR|8
1	contig198373|IQSEC2|6
2	contig198556|NDUFB7|8
3	contig198717|CD207|11
5	contig199017|OPA3|11
3	contig201050|RSBN1L|6
13	contig201333|PTPN1|6
1	contig201336|ATRX|11
1	contig201344|HERC1|11
4	contig201345|LMNB2|6
1	contig201352|SPTBN1|4
6	contig201354|ARID5B|11
1	contig201367|THRA|8
9	contig201372|TNRC18|12
3	contig201379|STXBP1|6
2	contig201385|NDE1|6
1	contig201388|KIF5B|2
3	contig201390|LYPLA2|11
3	contig201401|PRELID2|11
2	contig201402|BPTF|7
7	contig201408|E25A12|OPA
1	contig201414|SH3GL1|11
6	contig201417|BCAT1|3
4	contig201426|SLC6A11|11
6	contig201430|SPINT1|11
3	contig201436|RBM47|8
1	contig201441|FGD6|6
2	contig201444|FER1L6|9
4	contig201447|RAI14|10
3	contig201472|IFITM5|8
10	contig201478|TGM2|11
3	contig201483|CHKA|3
3	contig201491|CRK|6
11	contig201496|ZAK|12
1	contig201500|TMEM159|11
4	contig201508|PLD3|11
1	contig201516|ADRBK1|8
2	contig201522|AKAP1|12
3	contig201526|PXDN|7
1	contig201531|CELF2|5
3	contig201539|CLN3|12
3	contig201549|API5|2
3	contig201556|WDR46|11
6	contig201571|ZNF35|8
4	contig201576|LSR|11
6	contig201582|PTPRC|12
3	contig201588|SETBP1|11
2	contig201596|GPRC6A|12
2	contig201603|GPR155|11
2	contig201606|TRIM8|6
2	contig201609|HIPK1|11
1	contig201612|RCOR1|6
3	contig201621|C1orf9|11
2	contig201624|LIFR|12
5	contig201628|TACC1|11
1	contig201643|DDB1|3
5	contig201646|MON1B|9
3	contig201661|PARP3|7
2	contig201667|KIAA1737|12
1	contig201671|GOLIM4|8
10	contig201673|LZTR1|11
6	contig201675|ZNF469|11
6	contig201681|DNAJB1|11
4	contig201687|TGFBR2|11
5	contig201690|BCL2L13|11
7	contig201699|TRUB2|6
1	contig201714|TRPC4AP|6
2	contig201718|SPIN1|6
1	contig201723|SERBP1|8
1	contig201734|UBTF|7
4	contig201744|LAD1|12
2	contig201749|MYOF|6
1	contig201756|EXT2|8
4	contig201762|GOLPH3|6
2	contig201780|RNF219|9
3	contig201795|F10|8
3	contig201801|ETV6|8
5	contig201806|AHR|12
1	contig201820|VGLL4|6
1	contig201824|SLC35D1|8
1	contig201840|ADAM28|11
2	contig201848|TNPO3|11
3	contig201855|NOTCH2|11
3	contig201858|ZNF346|8
2	contig201862|EPHX1|11
2	contig201867|YAP1|6
2	contig201874|SGSH|11
5	contig201877|NECAP2|11
7	contig201882|KCNJ13|11
10	contig201892|MAPK6|6
2	contig201901|SDR16C5|11
2	contig201904|UPF1|6
4	contig201911|SLC35B2|11
6	contig201912|TET3|11
1	contig201925|ARID1A|3
6	contig201927|RGS4|11
2	contig201935|KIF21A|11
3	contig201936|MYH3|11
7	contig201939|KCTD1|11
1	contig201945|TMTC3|11
1	contig201948|MED12|4
11	contig201952|SMARCA5|6
1	contig201954|ELOVL6|3
4	contig201957|NFIA|11
6	contig201966|CDK4|8
1	contig201969|PRPF6|8
7	contig201976|NEDD4L|6
8	contig201990|TECR|8
7	contig201994|ARHGAP11A|11
8	contig202000|TMED5|8
5	contig202008|MAP7|8
7	contig202011|ECI2|8
3	contig202017|ZDHHC15|7
4	contig202024|E16G1|OPA
7	contig202033|CXCL14|6
2	contig202036|AARS|6
3	contig202044|EDC4|11
9	contig202047|BOD1L1|11
6	contig202051|FAM134C|9
3	contig202062|KDM3A|6
1	contig202071|ROCK1|7
3	contig202077|CADPS|6
2	contig202081|TBC1D4|11
2	contig202086|FOXO1|6
1	contig202090|DUSP14|11
5	contig202092|TCERG1|8
2	contig202102|MRPL38|11
3	contig202104|GLCCI1|6
2	contig202110|SMAD5|3
1	contig202114|MAN2B1|6
1	contig202119|ATP6V1A|3
3	contig202122|TCF12|11
7	contig202126|DNTTIP2|12
3	contig202132|PIAS3|8
3	contig202134|ZFP36L1|8
3	contig202137|FAM133B|8
1	contig202149|G6PC3|11
5	contig202152|DGCR14|6
5	contig202156|CD34|12
5	contig202162|TMEM209|8
6	contig202177|SLC29A3|6
6	contig202179|PTPRS|6
1	contig202182|CCDC132|3
1	contig202188|ZNF84|11
3	contig202197|GM2A|8
4	contig202204|NDNF|6
3	contig202206|ZC3H10|11
10	contig202209|LMO7|10
3	contig202215|SPG7|9
1	contig202219|STOX2|8
2	contig202221|ALDH6A1|6
1	contig202224|DOCK10|2
4	contig202230|C13orf33|11
4	contig202242|GMPPA|11
8	contig202257|NAA60|6
2	contig202272|PLXDC2|5
4	contig202275|SPATS2|3
3	contig202290|TSPAN1|6
4	contig202304|EMILIN1|11
1	contig202309|BMP1|6
1	contig202315|SIRT3|11
1	contig202317|CUX1|6
1	contig202321|ZNF268|8
2	contig202327|DNM2|11
4	contig202330|KDM4B|11
6	contig202332|HAPLN3|11
1	contig202335|PIGO|8
1	contig202339|ELMO1|8
2	contig202349|GOLT1B|6
1	contig202372|CDC27|11
6	contig202384|OPA1|3
4	contig202386|CRELD1|6
9	contig202409|AZIN1|8
3	contig202410|SMC3|6
2	contig202422|GRIA3|6
2	contig202431|CRTC1|11
1	contig202434|UBR2|3
2	contig202440|ESF1|8
1	contig202443|ANKFY1|6
4	contig202448|BRD4|12
2	contig202452|MYBBP1A|11
1	contig202458|MAGI1|11
2	contig202466|LANCL1|6
3	contig202471|RNMT|4
3	contig202473|RHPN1|9
3	contig202476|MACC1|11
1	contig202481|WTAP|6
7	contig202483|MTHFD1|8
2	contig202486|MARVELD2|11
3	contig202495|EMC1|6
2	contig202498|ZNF185|11
9	contig202501|TRIM28|8
4	contig202512|FAM96A|6
2	contig202516|CD53|12
5	contig202519|CCDC88A|11
2	contig202524|TRANK1|12
1	contig202533|PRPF18|8
3	contig202542|LCP1|11
6	contig202552|IPO4|11
4	contig202554|ERCC5|11
2	contig202569|ACADSB|11
1	contig202573|MMP14|6
1	contig202578|UBXN2B|6
1	contig202588|FDFT1|6
1	contig202593|MYBL2|3
1	contig202601|ZNF507|11
6	contig202608|DDX27|6
3	contig202614|SMC4|6
3	contig202624|P4HA1|6
8	contig202644|PCDH17|6
2	contig202649|KIAA1826|8
1	contig202657|IARS|3
4	contig202663|USP8|11
7	contig202680|C7orf23|6
3	contig202684|ENTPD8|7
6	contig202690|DTX3L|8
1	contig202693|CSGALNACT2|11
4	contig202711|EHD1|11
1	contig202714|KLHDC3|6
2	contig202725|SERINC3|8
2	contig202737|VPS4B|6
2	contig202747|SUV39H1|11
4	contig202765|BUB1|11
4	contig202773|HDGFRP2|11
1	contig202783|EIF4G1|8
1	contig202786|SEMA3F|11
7	contig202795|PARP2|12
1	contig202803|DNMT1|7
2	contig202809|ABHD14B|8
2	contig202815|MTPN|8
1	contig202821|SYN2|3
10	contig202827|NAGA|9
4	contig202837|FKBP15|6
7	contig202842|PARP14|11
6	contig202848|PAWR|6
2	contig202854|COG4|6
3	contig202858|IRAK1BP1|11
1	contig202860|COTL1|11
8	contig202863|GNPAT|11
5	contig202866|MIA3|8
1	contig202870|CXorf57|12
1	contig202876|ARMC6|6
6	contig202887|CFP|7
2	contig202891|CD44|11
4	contig202894|LRRC68|11
1	contig202896|PCDH1|12
10	contig202902|C1orf96|11
3	contig202905|CPSF2|6
5	contig202911|CASQ1|6
1	contig202924|HK1|8
4	contig202926|GUCY1B3|6
3	contig202929|EIF2B5|10
3	contig202932|LRRC32|11
3	contig202938|CACNA1S|6
5	contig202944|COL6A1|11
10	contig202966|RASSF6|8
4	contig202971|WIPI2|6
5	contig202977|CTSC|7
2	contig202986|NPHP1|8
1	contig202989|PAQR5|6
2	contig202993|NNT|9
5	contig203000|C1orf116|11
4	contig203001|FAM108A1|11
3	contig203008|SEC23IP|8
2	contig203017|SEC24D|11
2	contig203027|CASD1|6
2	contig203035|ATG2A|9
6	contig203054|ESYT2|11
1	contig203067|SIN3A|8
2	contig203070|USP9X|11
8	contig203075|ARHGEF5|6
1	contig203077|MST1R|11
2	contig203088|GMPPB|11
1	contig203094|TADA2A|4
7	contig203114|SGK3|11
2	contig203115|MYO1B|6
6	contig203122|SMG5|11
4	contig203127|SUN1|9
6	contig203133|OPTC|6
1	contig203140|EPHB3|6
6	contig203143|IFRD2|6
2	contig203146|COL6A2|11
1	contig203155|MTM1|8
12	contig203157|HAS1|11
1	contig203160|RNPS1|6
4	contig203167|SQSTM1|6
3	contig203170|AGPAT5|6
2	contig203176|RBM28|9
2	contig203179|KIAA1429|6
2	contig203181|WASF1|11
4	contig203188|LOC100505603|11
2	contig203190|ITSN2|8
2	contig203196|FBXO28|7
6	contig203199|PGPEP1|6
3	contig203211|RFC1|11
2	contig203227|GRAMD4|2
6	contig203242|E15C10|OPA
1	contig203260|PDS5A|11
4	contig203262|CHUK|6
5	contig203269|RDH14|12
8	contig203275|CLIC3|9
2	contig203282|POMT1|11
6	contig203287|EDNRA|7
4	contig203295|NCBP1|2
2	contig203298|C20orf194|7
6	contig203302|WHSC2|11
5	contig203304|NFIL3|11
2	contig203310|ATXN1|11
5	contig203317|RANBP9|2
11	contig203322|CES2|11
1	contig203332|CYP1A1|6
3	contig203334|OSBPL3|6
